organ,germ_layer,cell_type,rank_in_celltype,gene_symbol,canonical_marker,sensitivity_human,specificity_human,ubiquitousness_index,marker_score,gene_aliases,product_description,source
Pancreas,Endoderm,Acinar cells,1,CTRB1,Y,1.0,0.000628931,0.017,0.9994,CTRB,chymotrypsinogen B1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,2,PRSS1,Y,1.0,0.00597484,0.002,0.994,TRY1,serine protease 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,3,PRSS2,Y,1.0,0.0103774,0.01,0.9896,TRY2,serine protease 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,4,REG1A,Y,1.0,0.0273585,0.005,0.9726,PSPS; PSPS1; REG,regenerating family member 1 alpha,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,5,SPINK1,Y,1.0,0.0352201,0.029,0.9648,Spink3; PCTT; PSTI; TATI,"serine peptidase inhibitor, Kazal type 1","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,6,AKR1C3,Y,1.0,0.0389937,0.007,0.961,KIAA0119; DDX; HAKRB; PGFS; HSD17B5,aldo-keto reductase family 1 member C3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,7,PDZK1IP1,Y,1.0,0.0396226,0.025,0.9604,DD96; MAP17; SPAP,PDZK1 interacting protein 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,8,RARRES2,Y,1.0,0.0751572,0.03,0.9248,TIG2; HP10433,retinoic acid receptor responder 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,9,C15ORF48,Y,1.0,0.109119,0.018,0.8909,NMES1; MIR147BHG,chromosome 15 open reading frame 48,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,10,CPA2,Y,0.916667,0.0,0.004,0.9167,,carboxypeptidase A2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,11,CTRB2,Y,0.916667,0.00125786,0.001,0.9155,,chymotrypsinogen B2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,12,GSTA2,Y,0.916667,0.00628931,0.007,0.9109,GST2,glutathione S-transferase alpha 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,13,REG3A,Y,0.916667,0.0106918,0.005,0.9069,REG-III; REG3; PBCGF,regenerating family member 3 alpha,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,14,REG1B,Y,0.916667,0.0110063,0.002,0.9066,PSPS2; REGH; REGI-BETA,regenerating family member 1 beta,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,15,GSTA1,Y,0.916667,0.0267296,0.012,0.8922,,glutathione S-transferase alpha 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,16,MUC1,Y,0.916667,0.0295597,0.016,0.8896,CD227; PEM; ADMCKD; ADMCKD1; MCKD; MCKD1,"mucin 1, cell surface associated","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,17,LGALS2,Y,0.916667,0.0345912,0.032,0.885,HL14,galectin 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,18,CELA3A,Y,0.833333,0.0,0.001,0.8333,ELA3; ELA3A,chymotrypsin like elastase family member 3A,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,19,CPA1,Y,0.833333,0.0,0.006,0.8333,CPA,carboxypeptidase A1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,20,CTRC,Y,0.833333,0.0,0.003,0.8333,CLCR; ELA4,chymotrypsin C,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,21,PNLIP,Y,0.833333,0.000314465,0.005,0.8331,,pancreatic lipase,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,22,PLA2G1B,Y,0.833333,0.00157233,0.007,0.832,PLA2; PPLA2; PLA2A,phospholipase A2 group IB,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,23,SYCN,Y,0.833333,0.00157233,0.008,0.832,SYL; FLJ27441; INSSA1,syncollin,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,24,KLK1,Y,0.833333,0.00503145,0.013,0.8291,Klk6,kallikrein 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,25,CPB1,Y,0.833333,0.00786164,0.005,0.8268,,carboxypeptidase B1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,26,PRSS3,Y,0.833333,0.0289308,0.006,0.8092,TRY4; PRSS4,serine protease 3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,27,GDF15,Y,0.833333,0.054088,0.014,0.7883,PLAB; MIC-1; PDF; NAG-1; PTGFB,growth differentiation factor 15,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,28,CELA3B,Y,0.75,0.00125786,0.007,0.7491,CBPP; ELA3B,chymotrypsin like elastase family member 3B,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,29,ANPEP,Y,0.75,0.0100629,0.015,0.7425,gp150; CD13; PEPN,"alanyl aminopeptidase, membrane","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,30,CXCL17,Y,0.75,0.0248428,0.007,0.7314,Dcip1; UNQ473; VCC1,C-X-C motif chemokine ligand 17,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,31,RNASE1,Y,0.75,0.0877358,0.022,0.6842,RAC1; RNS1,"ribonuclease A family member 1, pancreatic","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,32,CLPS,Y,0.583333,0.000314465,0.021,0.5831,,colipase,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,33,ALDOB,Y,0.583333,0.00408805,0.031,0.5809,,"aldolase, fructose-bisphosphate B","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,34,OLFM4,Y,0.583333,0.0132075,0.013,0.5756,OlfD; GW112,olfactomedin 4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,35,PNLIPRP1,Y,0.5,0.0,0.008,0.5,PLRP1,pancreatic lipase related protein 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,36,CELA2A,Y,0.333333,0.0,0.005,0.3333,ELA2A,chymotrypsin like elastase family member 2A,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,37,CEL,Y,0.166667,0.0,0.002,0.1667,BSSL; MODY8,carboxyl ester lipase,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,38,ANGPTL4,Y,0.166667,0.0295597,0.031,0.1617,pp1158; PGAR; ARP4; HFARP; FIAF,angiopoietin like 4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,39,AMY2B,Y,0.0833333,0.0,0.003,0.0833,,"amylase, alpha 2B (pancreatic)","PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,40,RBPJL,Y,0.0,0.0,0.001,0.0,RBP-L; SUHL; RBPSUHL,recombination signal binding protein for immunoglobulin kappa J region like,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,41,CELA1,Y,0.0,0.0,0.017,0.0,ELA1,chymotrypsin like elastase family member 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,42,CFB,Y,0.0,0.0,0.001,0.0,H2-Bf; BFD; BF,complement factor B,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,43,DUOXA2,Y,0.0,0.0,0.0,0.0,,dual oxidase maturation factor 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,44,SERPINA3,Y,0.0,0.000314465,0.0,0.0,AACT,serpin family A member 3,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,45,PTF1A,Y,0.0,0.000628931,0.001,0.0,PTF1-p48; bHLHa29,pancreas associated transcription factor 1a,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,46,ZG16,Y,0.0,0.0144654,0.013,0.0,hZG16; JCLN1; ZG16A; JCLN,zymogen granule protein 16,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,47,LYZ,Y,0.0,0.0408805,0.008,0.0,,lysozyme,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Pancreas,Endoderm,Acinar cells,48,UBD,Y,,,0.0,0.0,FAT10,ubiquitin D,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,1,FGF10,Y,0.0,0.000626566,0.001,0.0,,fibroblast growth factor 10,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,2,EBF2,Y,0.0,0.00125313,0.006,0.0,FLJ11500; COE2,early B cell factor 2,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,3,NRG4,Y,0.0,0.00156642,0.001,0.0,,neuregulin 4,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,4,HOXC8,Y,0.0,0.00313283,0.005,0.0,HOX3A,homeobox C8,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
Connective tissue,Mesoderm,Adipocyte progenitor cells,5,TCF7L1,Y,0.0,0.00845865,0.009,0.0,TCF3,transcription factor 7 like 1,"PanglaoDB (Franzen et al. 2019, 27-Mar-2020 release)"
